"menu_id","allergy","caffeine","img","menu_description","menu_name","menu_title","price","protein","saturated_fat","serving_size","sodium","sugar"
1,우유,0,https://ifh.cc/g/4Plb3w.png,제철 과일 멜론과 달콤한 연유가 어우러져 지구를 형상화한 부드럽고 진한 여름시즌 한정 스무디,지구멜론 스무디,"8th-New-Menu",4000,7,6,446,275,61
2,-,0,https://ifh.cc/g/ZMFSav.png,이게 월클이 느끼는 무게의 맛인가.. 자꾸 생각나는 초특급 시원함의 무알콜 하이볼 에이드! 달콤 씁쓸 강렬한 원신 한정판 음료,방랑자! 하이볼 에이드랑 함 날,"8th-New-Menu",5000,0,0,228,13,52
3,"우유,계란,밀,대두",0,https://ifh.cc/g/bMqb2L.png,"달콤쫀득한 초코젤라또와 바삭한 쿠키크럼블, 초코칩을 쫄깃한 크레이프에 감싸 만든 달달 시원한 여름시즌 한정 디저트",지구별 초코 크레페,"8th-New-Menu",2800,5,17,479,403,37
4,-,0,https://ifh.cc/g/VbFYFk.png,"청량한 오이의 향과 상큼한 라임, 애플민트가 어우러진 수분 충전! 대체당을 이용한 저칼로리 여름시즌 한정 메뉴",오이오이 라임 오히또,"8th-New-Menu",3200,0,0,55,69,7
5,-,0,https://ifh.cc/g/wwbX9T.png,상큼달콤한 프리미엄 골드키위에 밀크씨슬을 더해 일상의 활력을 선사하는 건강한 여름시즌 한정 블렌딩 주스,달달 골드키위주스,"8th-New-Menu",3200,1,0,20,15,43
6,카페인,140,https://ifh.cc/g/XCLsph.png,진한 에스프레소에 시원한 정수물과 얼음을 더하여 스타벅스의 깔끔하고 강렬한 에스프레소를 가장 부드럽고 시원하게 즐길 수 있는 커피,아메리카노(Ice),Coffee,1500,0,0,355,10,0
7,"대두,우유",75,https://ifh.cc/g/tkdhhH.png,향긋한 바닐라 시럽과 시원한 우유와 얼음을 넣고 점을 찍듯이 에스프레소를 부은 후 벌집 모양으로 카라멜 드리즐을 올린 달콤한 커피 음료,카라멜마키아토,Coffee,3500,6,4,355,110,22
8,우유,75,https://ifh.cc/g/bRaxCW.png,"신선한 에스프레소 샷에 풍부한 휘핑크림을 얹은 커피 음료로서, 뜨거운 커피의 맛과 차갑고 달콤한 생크림의 맛을 같이 즐길 수 있는 커피 음료",에스프레소콘파나,Coffee,4800,0,1,22,0,1
9,우유,5,https://ifh.cc/g/s02xwo.png,상큼&달콤한 딸기와 부드러운 글레이즈드 소스에 바삭한 딸기 토핑을 얹은 프라푸치노.,딸기 글레이즈드 크림 프라푸치노,Coffee,4600,5,9,355,220,44
10,-,415,https://ifh.cc/g/nvvGCA.png,상쾌한 민트향 시럽과 잘게 갈린 얼음이,민트 콜드브루,Coffee,3800,0,0,473,0,23
11,-,0,https://ifh.cc/g/XG7t5x.png,"스트로베리와 아사이베리의 상큼, 달콤한 맛이 톡톡!",슬래머,Drink,4000,0,0,473,0,55
12,우유,0,https://ifh.cc/g/V75xVB.png,딸기 풍미 가득한 스타벅스만의 딸기 콜드폼과,콜드 폼 딸기라떼,Drink,5000,6,2,235,110,41
13,우유,0,https://ifh.cc/g/p4sSxT.png,부드럽고 담백한 신선한 우유.,우유,Drink,2500,12,8,355,200,18
14,우유,0,https://ifh.cc/g/TsfvTz.png,"고소한 헤이즐넛과 진한 초콜릿의 만남,",플러피 판다 아이스 초콜릿,Drink,6000,11,16,473,150,39
15,우유,10,https://ifh.cc/g/VRloVS.png,리저브 다크 초콜릿을 활용하여 초콜릿 풍미 가득한 디저트 타입의 티라미수 초콜릿,티라미수 초콜릿,Drink,5500,11,14,355,200,41
16,"우유,계란,대두",0,https://ifh.cc/g/Gz8Hsl.png,고온에서 짧게 구워 겉면은 스모키하고 속은 크리미한 특징의 바스크 치즈 케이크에 초코의 달콤한 풍미를 더해 다채로운 맛을 즐길 수 있는 케이크입니다,바스크 초코 치즈케이크,Dessert,3500,8,38,326,290,43
